date,text,compound,positive,negative,neutral
2021-02-18T21:06:00Z,"NEW YORK (Reuters) - Ethereum, the second largest cryptocurrency in terms of market capitalization and volume, hit a record high on Thursday, lifted by growing institutional interest in the space, an… [+2569 chars]",0.5719,0.139,0.0,0.861
2021-02-18T21:00:00Z,"NEW YORK, Feb 18 (Reuters) - Ethereum, the second largest cryptocurrency in terms of market capitalization and volume, hit a record high on Thursday, lifted by growing institutional interest in the s… [+2563 chars]",0.5719,0.135,0.0,0.865
2021-02-04T09:58:00Z,"FILE PHOTO: Representation of the Ethereum virtual currency standing on the PC motherboard is seen in this illustration picture, February 3, 2018. REUTERS/Dado Ruvic/Illustration/File Photo
LONDON (… [+1343 chars]",0.0,0.0,0.0,1.0
2021-02-22T03:43:56Z,"Ethereum rose by 7.34% in the week ending 21st February. Following on from an 11.65% rally from the previous week, Ethereum ended the week at $1,935.57.
It was also a mixed start to the week. Ethere… [+1690 chars]",0.0,0.0,0.0,1.0
2021-02-08T17:18:00Z,"* Dollar index little changed after Friday payrolls fall
 * Jobs data takes shine off dollar rebound
 * Ethereum gains on futures debut
 * Bitcoin hits record high after Tesla purchase
 * Graphic… [+4476 chars]",0.34,0.076,0.0,0.924
2021-02-04T14:14:00Z,"Company News
Thyagaraju Adinarayan
Anna Irrera
* Musk tweets Dogecoin is the peoples crypto
* Dogecoin jumped nearly 68% to $0.054496
* Ethereum hits fresh record highs ahead of futures launch (… [+2412 chars]",0.3182,0.071,0.0,0.929
2021-02-08T22:37:00Z,"NEW YORK (Reuters) - Investment inflows into cryptocurrency funds and products amounted to $245 million last week, with 80% of the money going into ethereum ahead of the listing of its futures on the… [+2060 chars]",0.0,0.0,0.0,1.0
2021-02-20T05:20:00Z,"By Reuters Staff
SINGAPORE (Reuters) - Bitcoin hit a fresh high in Asian trading on Saturday, extending a two-month rally that saw its market capitalisation cross $1 trillion a day earlier.
The wor… [+690 chars]",0.3182,0.071,0.0,0.929
2021-02-08T22:28:00Z,"NEW YORK, Feb 8 (Reuters) - Investment inflows into cryptocurrency funds and products amounted to $245 million last week, with 80% of the money going into ethereum ahead of the listing of its futures… [+1954 chars]",0.0,0.0,0.0,1.0
2021-02-19T05:49:00Z,"* Dollar continues to take cues from economy instead of
sentiment
 * Ethereum marks new record high while bitcoin takes a
breather
 * Graphic: World FX rates tmsnrt.rs/2RBWI5E
By Kevin Buckland… [+3734 chars]",0.0,0.0,0.0,1.0
2021-02-08T12:47:00Z,"* Dollar steadies after Friday payrolls fall
* Jobs data takes shine off dollar rebound
* Ethereum gains on futures debut
* Graphic: World FX rates tmsnrt.rs/2RBWI5E
LONDON, Feb 8(Reuters) - The … [+2515 chars]",0.34,0.079,0.0,0.921
2021-02-15T02:46:00Z,"By Reuters Staff
SINGAPORE, Feb 15 (Reuters) - Cryptocurrencies slid during Asian trading hours on Monday, with bitcoin dropping more than 5%, as investors took profits from a record-breaking rally.… [+253 chars]",0.4404,0.091,0.0,0.909
